archivo,versiones,fecha,igual,historial
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/.gitignore,2,2026-07-16 01:46:45,False,/home/braudesdev/.config/Code/User/History/-19c84132/A6Cu
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/angular.json,10,2026-07-16 00:12:47,False,/home/braudesdev/.config/Code/User/History/7b13d28c/pVJX.json
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/cors.json,1,2026-07-11 01:00:10,False,/home/braudesdev/.config/Code/User/History/646bf471/212z.json
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/app.config.ts,5,2026-07-12 23:39:57,False,/home/braudesdev/.config/Code/User/History/7348902d/CYJK.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/app.html,1,2026-05-07 13:22:46,True,/home/braudesdev/.config/Code/User/History/-61d35917/E4Wj.html
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/app.routes.ts,11,2026-07-13 00:09:02,False,/home/braudesdev/.config/Code/User/History/-52b860db/0IKb.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/app.ts,3,2026-07-13 00:02:51,False,/home/braudesdev/.config/Code/User/History/5236653d/WHes.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/anfitrion-dashboard/anfitrion-dashboard.component.css,6,2026-06-03 23:58:48,False,/home/braudesdev/.config/Code/User/History/-10bd291/e3pR.css
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/anfitrion-dashboard/anfitrion-dashboard.component.html,18,2026-07-13 00:42:42,False,/home/braudesdev/.config/Code/User/History/-206c3641/b8MV.html
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/anfitrion-dashboard/anfitrion-dashboard.component.ts,19,2026-06-03 23:57:21,False,/home/braudesdev/.config/Code/User/History/73944593/XghF.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/anfitrion-login/anfitrion-login.component.html,3,2026-07-12 23:20:28,False,/home/braudesdev/.config/Code/User/History/-72a4d2b/joKs.html
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/anfitrion-login/anfitrion-login.component.ts,1,2026-05-29 23:14:35,True,/home/braudesdev/.config/Code/User/History/25497c29/YXuk.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/invitaciones/formulario-invitacion/formulario-invitacion.component.css,5,2026-07-11 00:41:40,False,/home/braudesdev/.config/Code/User/History/22a06b30/0FPR.css
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/invitaciones/formulario-invitacion/formulario-invitacion.component.html,37,2026-07-15 23:26:19,False,/home/braudesdev/.config/Code/User/History/316f441e/ko1l.html
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/invitaciones/formulario-invitacion/formulario-invitacion.component.ts,47,2026-07-15 23:27:20,False,/home/braudesdev/.config/Code/User/History/6c78cbb2/pnUX.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/invitaciones/invitacion-generica/invitacion-generica.component.css,2,2026-06-04 21:24:01,True,/home/braudesdev/.config/Code/User/History/-f1c9c0/4zpn.css
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/invitaciones/invitacion-generica/invitacion-generica.component.html,20,2026-07-15 00:28:31,False,/home/braudesdev/.config/Code/User/History/-1d4524f2/3OKe.html
